test_type,depth,num_leaves,bitsize,field,func,avg_time,avg_max_bits,total_bits_processed,result,expected,correct,trial_tree,trial_run,leaf_values
logn_loglogn,4,16,3,GF(32),xor,282.52597737312317,9,28754370,5,5,True,2,0,"[4, 3, 3, 2, 4, 7, 4, 7, 2, 7, 7, 1, 7, 4, 1, 2]"
baseline_plain,4,16,3,GF(32),xor,0.00010824203491210938,15,55,4,4,True,3,0,"[2, 3, 3, 5, 5, 7, 5, 6, 5, 3, 5, 3, 6, 1, 7, 2]"
logn_loglogn,4,16,3,GF(32),xor,285.10400342941284,9,28754370,4,4,True,3,0,"[2, 3, 3, 5, 5, 7, 5, 6, 5, 3, 5, 3, 6, 1, 7, 2]"
baseline_plain,4,16,3,GF(32),xor,1.4781951904296875e-05,19,87,0,0,True,4,0,"[6, 0, 4, 5, 4, 7, 4, 4, 5, 4, 5, 5, 7, 3, 2, 3]"
logn_loglogn,4,16,3,GF(32),xor,283.9222056865692,9,28754370,0,0,True,4,0,"[6, 0, 4, 5, 4, 7, 4, 4, 5, 4, 5, 5, 7, 3, 2, 3]"
baseline_plain,4,16,3,GF(32),xor,1.239776611328125e-05,19,89,0,0,True,5,0,"[4, 2, 5, 2, 5, 4, 4, 5, 6, 6, 7, 3, 7, 3, 5, 4]"
logn_loglogn,4,16,3,GF(32),xor,286.07055139541626,9,28754370,0,0,True,5,0,"[4, 2, 5, 2, 5, 4, 4, 5, 6, 6, 7, 3, 7, 3, 5, 4]"
baseline_plain,4,16,3,GF(32),xor,1.3589859008789062e-05,20,84,2,2,True,6,0,"[4, 3, 7, 5, 4, 5, 3, 7, 2, 0, 6, 5, 1, 2, 5, 5]"
logn_loglogn,4,16,3,GF(32),xor,284.8649253845215,9,28754370,2,2,True,6,0,"[4, 3, 7, 5, 4, 5, 3, 7, 2, 0, 6, 5, 1, 2, 5, 5]"
baseline_plain,4,16,3,GF(32),xor,1.33514404296875e-05,13,34,0,0,True,7,0,"[7, 7, 0, 2, 0, 3, 6, 7, 5, 2, 0, 6, 3, 7, 3, 6]"
logn_loglogn,4,16,3,GF(32),xor,284.92141008377075,9,28754370,0,0,True,7,0,"[7, 7, 0, 2, 0, 3, 6, 7, 5, 2, 0, 6, 3, 7, 3, 6]"
